,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
87,0.5859,Sat Dec 09 21:09:02 +0000 2017,0.853,0.0,0.147,12,@BBCWorld
88,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,11,@BBCWorld
89,-0.5267,Sat Dec 09 21:09:02 +0000 2017,0.726,0.274,0.0,10,@BBCWorld
90,-0.7351,Sat Dec 09 21:09:02 +0000 2017,0.326,0.674,0.0,9,@BBCWorld
91,-0.8979,Sat Dec 09 21:09:02 +0000 2017,0.423,0.577,0.0,8,@BBCWorld
92,-0.7003,Sat Dec 09 21:09:02 +0000 2017,0.633,0.367,0.0,7,@BBCWorld
93,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,6,@BBCWorld
94,0.124,Sat Dec 09 21:09:02 +0000 2017,0.738,0.103,0.158,5,@BBCWorld
95,-0.4588,Sat Dec 09 21:09:02 +0000 2017,0.727,0.273,0.0,4,@BBCWorld
96,-0.2263,Sat Dec 09 21:09:02 +0000 2017,0.808,0.192,0.0,3,@BBCWorld
97,-0.7717,Sat Dec 09 21:09:02 +0000 2017,0.599,0.401,0.0,2,@BBCWorld
98,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,1,@BBCWorld
99,-0.8225,Sat Dec 09 21:09:02 +0000 2017,0.441,0.559,0.0,0,@BBCWorld
100,0.5267,Sat Dec 09 21:09:02 +0000 2017,0.833,0.0,0.167,99,@CBSNews
101,0.3182,Sat Dec 09 21:09:02 +0000 2017,0.806,0.066,0.128,98,@CBSNews
102,-0.8519,Sat Dec 09 21:09:02 +0000 2017,0.644,0.356,0.0,97,@CBSNews
103,-0.7269,Sat Dec 09 21:09:02 +0000 2017,0.679,0.321,0.0,96,@CBSNews
104,-0.1027,Sat Dec 09 21:09:02 +0000 2017,0.783,0.117,0.1,95,@CBSNews
105,-0.33,Sat Dec 09 21:09:02 +0000 2017,0.69,0.183,0.128,94,@CBSNews
106,0.2732,Sat Dec 09 21:09:02 +0000 2017,0.669,0.126,0.204,93,@CBSNews
107,0.3612,Sat Dec 09 21:09:02 +0000 2017,0.884,0.0,0.116,92,@CBSNews
108,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,91,@CBSNews
109,-0.5719,Sat Dec 09 21:09:02 +0000 2017,0.736,0.19,0.074,90,@CBSNews
110,-0.128,Sat Dec 09 21:09:02 +0000 2017,0.914,0.086,0.0,89,@CBSNews
111,0.3612,Sat Dec 09 21:09:02 +0000 2017,0.884,0.0,0.116,88,@CBSNews
112,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,87,@CBSNews
113,0.34,Sat Dec 09 21:09:02 +0000 2017,0.876,0.0,0.124,86,@CBSNews
114,-0.7717,Sat Dec 09 21:09:02 +0000 2017,0.628,0.372,0.0,85,@CBSNews
115,0.6808,Sat Dec 09 21:09:02 +0000 2017,0.752,0.0,0.248,84,@CBSNews
116,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,83,@CBSNews
117,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,82,@CBSNews
118,-0.2023,Sat Dec 09 21:09:02 +0000 2017,0.899,0.101,0.0,81,@CBSNews
119,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,80,@CBSNews
120,-0.9061,Sat Dec 09 21:09:02 +0000 2017,0.601,0.399,0.0,79,@CBSNews
121,0.5574,Sat Dec 09 21:09:02 +0000 2017,0.806,0.0,0.194,78,@CBSNews
122,0.4939,Sat Dec 09 21:09:02 +0000 2017,0.862,0.0,0.138,77,@CBSNews
123,0.3612,Sat Dec 09 21:09:02 +0000 2017,0.878,0.0,0.122,76,@CBSNews
124,-0.4767,Sat Dec 09 21:09:02 +0000 2017,0.853,0.147,0.0,75,@CBSNews
125,0.34,Sat Dec 09 21:09:02 +0000 2017,0.876,0.0,0.124,74,@CBSNews
126,0.2023,Sat Dec 09 21:09:02 +0000 2017,0.893,0.0,0.107,73,@CBSNews
127,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,72,@CBSNews
128,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,71,@CBSNews
129,-0.296,Sat Dec 09 21:09:02 +0000 2017,0.633,0.222,0.146,70,@CBSNews
130,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,69,@CBSNews
131,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,68,@CBSNews
132,0.34,Sat Dec 09 21:09:02 +0000 2017,0.806,0.0,0.194,67,@CBSNews
133,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,66,@CBSNews
134,-0.4767,Sat Dec 09 21:09:02 +0000 2017,0.721,0.279,0.0,65,@CBSNews
135,-0.5423,Sat Dec 09 21:09:02 +0000 2017,0.774,0.226,0.0,64,@CBSNews
136,-0.6705,Sat Dec 09 21:09:02 +0000 2017,0.71,0.29,0.0,63,@CBSNews
137,-0.6908,Sat Dec 09 21:09:02 +0000 2017,0.701,0.299,0.0,62,@CBSNews
138,-0.6597,Sat Dec 09 21:09:02 +0000 2017,0.714,0.286,0.0,61,@CBSNews
139,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,60,@CBSNews
140,-0.6808,Sat Dec 09 21:09:02 +0000 2017,0.663,0.337,0.0,59,@CBSNews
141,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,58,@CBSNews
142,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,57,@CBSNews
143,0.0129,Sat Dec 09 21:09:02 +0000 2017,0.935,0.0,0.065,56,@CBSNews
144,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,55,@CBSNews
145,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,54,@CBSNews
146,0.3085,Sat Dec 09 21:09:02 +0000 2017,0.772,0.08,0.149,53,@CBSNews
147,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,52,@CBSNews
148,0.6597,Sat Dec 09 21:09:02 +0000 2017,0.565,0.0,0.435,51,@CBSNews
149,0.0258,Sat Dec 09 21:09:02 +0000 2017,0.922,0.0,0.078,50,@CBSNews
150,-0.5267,Sat Dec 09 21:09:02 +0000 2017,0.522,0.313,0.165,49,@CBSNews
151,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,48,@CBSNews
152,-0.5106,Sat Dec 09 21:09:02 +0000 2017,0.769,0.231,0.0,47,@CBSNews
153,0.3089,Sat Dec 09 21:09:02 +0000 2017,0.861,0.0,0.139,46,@CBSNews
154,0.4215,Sat Dec 09 21:09:02 +0000 2017,0.823,0.0,0.177,45,@CBSNews
155,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,44,@CBSNews
156,-0.6369,Sat Dec 09 21:09:02 +0000 2017,0.682,0.318,0.0,43,@CBSNews
157,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,42,@CBSNews
158,0.3612,Sat Dec 09 21:09:02 +0000 2017,0.848,0.0,0.152,41,@CBSNews
159,-0.5267,Sat Dec 09 21:09:02 +0000 2017,0.747,0.253,0.0,40,@CBSNews
160,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,39,@CBSNews
161,-0.6705,Sat Dec 09 21:09:02 +0000 2017,0.686,0.314,0.0,38,@CBSNews
162,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,37,@CBSNews
163,-0.34,Sat Dec 09 21:09:02 +0000 2017,0.844,0.156,0.0,36,@CBSNews
164,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,35,@CBSNews
165,-0.6486,Sat Dec 09 21:09:02 +0000 2017,0.719,0.281,0.0,34,@CBSNews
166,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,33,@CBSNews
167,-0.7269,Sat Dec 09 21:09:02 +0000 2017,0.534,0.466,0.0,32,@CBSNews
168,-0.6705,Sat Dec 09 21:09:02 +0000 2017,0.593,0.407,0.0,31,@CBSNews
169,-0.228,Sat Dec 09 21:09:02 +0000 2017,0.852,0.148,0.0,30,@CBSNews
170,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,29,@CBSNews
171,0.5574,Sat Dec 09 21:09:02 +0000 2017,0.753,0.0,0.247,28,@CBSNews
172,-0.7717,Sat Dec 09 21:09:02 +0000 2017,0.642,0.358,0.0,27,@CBSNews
173,0.0,Sat Dec 09 21:09:02 +0000 2017,0.696,0.152,0.152,26,@CBSNews
174,-0.3182,Sat Dec 09 21:09:02 +0000 2017,0.796,0.204,0.0,25,@CBSNews
175,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,24,@CBSNews
176,-0.7841,Sat Dec 09 21:09:02 +0000 2017,0.615,0.385,0.0,23,@CBSNews
177,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,22,@CBSNews
178,0.5719,Sat Dec 09 21:09:02 +0000 2017,0.619,0.0,0.381,21,@CBSNews
179,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,20,@CBSNews
180,0.4767,Sat Dec 09 21:09:02 +0000 2017,0.785,0.0,0.215,19,@CBSNews
181,-0.4404,Sat Dec 09 21:09:02 +0000 2017,0.702,0.205,0.094,18,@CBSNews
182,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,17,@CBSNews
183,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,16,@CBSNews
184,0.128,Sat Dec 09 21:09:02 +0000 2017,0.719,0.126,0.156,15,@CBSNews
185,-0.6808,Sat Dec 09 21:09:02 +0000 2017,0.723,0.277,0.0,14,@CBSNews
186,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,13,@CBSNews
187,0.5994,Sat Dec 09 21:09:02 +0000 2017,0.613,0.074,0.313,12,@CBSNews
188,0.4019,Sat Dec 09 21:09:02 +0000 2017,0.828,0.0,0.172,11,@CBSNews
189,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,10,@CBSNews
190,-0.8176,Sat Dec 09 21:09:02 +0000 2017,0.545,0.455,0.0,9,@CBSNews
191,-0.3182,Sat Dec 09 21:09:02 +0000 2017,0.751,0.155,0.094,8,@CBSNews
192,0.0,Sat Dec 09 21:09:02 +0000 2017,1.0,0.0,0.0,7,@CBSNews
